Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
aleatorio,100000_1.in,10.495316481,100000,705082703,99986
aleatorio,100000_2.in,9.312495161,100000,705082703,99991
aleatorio,100000_3.in,8.962548842,100000,705082703,99995
aleatorio,100000_4.in,10.056376047,100000,705082703,99989
aleatorio,100000_5.in,9.530913578,100000,705082703,99978
aleatorio,10000_1.in,.121364438,10000,50004999,9985
aleatorio,10000_2.in,.123574047,10000,50004999,9993
aleatorio,10000_3.in,.126400334,10000,50004999,9992
aleatorio,10000_4.in,.111575836,10000,50004999,9983
aleatorio,10000_5.in,.163854445,10000,50004999,9993
aleatorio,1000_1.in,.006461305,1000,500499,991
aleatorio,1000_2.in,.006072519,1000,500499,994
aleatorio,1000_3.in,.006151067,1000,500499,993
aleatorio,1000_4.in,.006010986,1000,500499,991
aleatorio,1000_5.in,.003476247,1000,500499,994
aleatorio,100_1.in,.002309257,100,5049,94
aleatorio,100_2.in,.002544896,100,5049,98
aleatorio,100_3.in,.002774052,100,5049,93
aleatorio,100_4.in,.002292073,100,5049,95
aleatorio,100_5.in,.002195120,100,5049,94
crescente,100000.in,10.478095172,100000,705082703,0
crescente,10000.in,.187276700,10000,50004999,0
crescente,1000.in,.004557523,1000,500499,0
crescente,100.in,.002747865,100,5049,0
decrescente,100000.in,10.140036480,100000,705082703,50000
decrescente,10000.in,.113547027,10000,50004999,5000
decrescente,1000.in,.004011885,1000,500499,500
decrescente,100.in,.002861476,100,5049,50
